,0,1,2,3,4,5,6
BALANCE,-0.03786173881565622,0.8006970405588978,-0.1866352063851013,-0.24036660414443664,-0.0017276096229390191,0.2710159708357932,0.11958693285737003
BALANCE_FREQUENCY,0.15473107122740534,0.36307997726480823,-0.2954455827942817,-0.4427553346121827,-0.05297836395579274,-0.2524394009569079,-0.4285588954883603
PURCHASES,0.8819214353341257,0.30974688523753297,0.1582576214896391,-0.03438289115648056,0.13089431961125622,-0.08364609984676513,0.14211539898706466
ONEOFF_PURCHASES,0.7324246154911978,0.3183555425056705,0.406562959938387,-0.10628505328783139,0.04327554839482569,-0.10987435816878738,0.09174028290167921
INSTALLMENTS_PURCHASES,0.7389082488372117,0.14355640667099165,-0.3096495874463289,0.09952828529851451,0.19238193061304565,-0.025258390247291068,0.12235191633692671
CASH_ADVANCE,-0.3185919071057099,0.77855152773,-0.07700962403025995,0.37679499869800714,-0.17574298359746726,0.051560267241140094,-0.03793530344803732
PURCHASES_FREQUENCY,0.7857402227119294,-0.12782152275368244,-0.3748996875932722,0.020692972750791724,-0.32160761123708775,-0.0703192569015861,-0.13509757735827116
ONEOFF_PURCHASES_FREQUENCY,0.6525939526754775,0.20407646330590618,0.4112312522800636,-0.19921719112277184,-0.24943553768413396,-0.15720604483228717,-0.19419990330098164
PURCHASES_INSTALLMENTS_FREQUENCY,0.6664674092554153,-0.1448394550144464,-0.6343247058007644,0.1327482883428059,-0.08887697710782991,-0.05644933597173939,-0.0651517522466743
CASH_ADVANCE_FREQUENCY,-0.40732126696805643,0.7135154895906214,-0.0866475736319171,0.16659864955368175,-0.14857255079397727,-0.24357492761272503,-0.1454202372441869
CASH_ADVANCE_TRX,-0.33466429590384206,0.7190488753329283,-0.10627349106596329,0.21977503674190543,-0.19492529867654323,-0.1614596687438458,-0.1817452038949836
PURCHASES_TRX,0.8459693398451325,0.2214512601413242,-0.08757638588703323,-0.05688410090874143,0.03829058102629044,-0.12818683381793972,-0.015702288929447642
CREDIT_LIMIT,0.31266149658787196,0.5040291187481514,0.13372494958734496,0.1695567121252761,-0.03139747184404595,0.47460173933823807,-0.050533010789509586
PAYMENTS,0.3939181116747335,0.6017445000847533,0.14615846034101446,0.3236615045707385,0.17563455742092798,0.16213836347137825,0.013073428233831156
MINIMUM_PAYMENTS,0.01742984546108587,0.5125192940949065,-0.310255936611778,-0.33499058584116065,0.07655782764262596,0.3393238269406246,0.3293466538593094
PRC_FULL_PAYMENT,0.36961726578612814,-0.27796719440244794,0.058571267473443385,0.4724701727774948,-0.03423853816712463,-0.0241909726142361,-0.1896033753275344
TENURE,0.16305951954417294,0.01789773820058476,-0.023464022838799236,-0.2284996988723241,0.2959738016996814,0.5469291792030347,-0.6260874229355488
Monthly_avg_pur,0.8738190870820542,0.30971888154669375,0.16050664756156893,-0.025083201102148425,0.10443117948344476,-0.11355313254624995,0.18069019974414235
Monthly_cash_adv_amt,-0.3232400719113038,0.7515995818021061,-0.07217198529126866,0.3916611891717987,-0.21103748467604194,-0.02422283486297035,0.046867657289471544
Limit_usage,-0.2805961188047815,0.4960482538814414,-0.26969467055433527,-0.5807400272945292,0.11473166765602104,-0.14612490379162785,0.08155720173248271
Pay_ratio,0.199889200894777,0.011611836451841061,0.29306461010612966,0.47614514386127443,0.29112086472465953,0.04923784000124796,-0.07018784728002556
Dumm__none,-0.5817240213314158,0.2702005480625967,0.07448591014329098,0.06747025816293233,0.6137069816593492,-0.2526420706271023,-0.029727848350450444
Dumm__only_oneoff,-0.12089699207801495,-0.014896052213476754,0.627908235960048,-0.2695454508286545,-0.5127908329777336,0.22966944194645925,0.07285668968751831
Dumm__only_purchase,0.052091933592745124,-0.4167197850876384,-0.6265153752295803,0.2666792870103539,-0.14090983503771326,0.23518348682383605,0.15589318257465204
